DAUID,characteristic,value
35010178,Population_2021,
35010178,Total_households,
35010178,Median_income_2020,
35010201,Population_2021,
35010201,Total_households,
35010201,Median_income_2020,
35010377,Population_2021,
35010377,Total_households,
35010377,Median_income_2020,
35010378,Population_2021,
35010378,Total_households,
35010378,Median_income_2020,
35010379,Population_2021,
35010379,Total_households,
35010379,Median_income_2020,
35010380,Population_2021,
35010380,Total_households,
35010380,Median_income_2020,
35010381,Population_2021,
35010381,Total_households,
35010381,Median_income_2020,
35010382,Population_2021,
35010382,Total_households,
35010382,Median_income_2020,
35010383,Population_2021,
35010383,Total_households,
35010383,Median_income_2020,
35010384,Population_2021,
35010384,Total_households,
35010384,Median_income_2020,
35010385,Population_2021,
35010385,Total_households,
35010385,Median_income_2020,
35010386,Population_2021,
35010386,Total_households,
35010386,Median_income_2020,
35010387,Population_2021,
35010387,Total_households,
35010387,Median_income_2020,
35010388,Population_2021,
35010388,Total_households,
35010388,Median_income_2020,
35010389,Population_2021,
35010389,Total_households,
35010389,Median_income_2020,
35010390,Population_2021,
35010390,Total_households,
35010390,Median_income_2020,
35010391,Population_2021,
35010391,Total_households,
35010391,Median_income_2020,
35010392,Population_2021,
35010392,Total_households,
35010392,Median_income_2020,
35010393,Population_2021,
35010393,Total_households,
35010393,Median_income_2020,
35010394,Population_2021,
35010394,Total_households,
35010394,Median_income_2020,
35010395,Population_2021,
35010395,Total_households,
35010395,Median_income_2020,
35010396,Population_2021,
35010396,Total_households,
35010396,Median_income_2020,
35010397,Population_2021,
35010397,Total_households,
35010397,Median_income_2020,
35010398,Population_2021,
35010398,Total_households,
35010398,Median_income_2020,
35010407,Population_2021,
35010407,Total_households,
35010407,Median_income_2020,
35010408,Population_2021,
35010408,Total_households,
35010408,Median_income_2020,
35010273,Population_2021,668.0
35010273,Total_households,275.0
35010273,Median_income_2020,83000.0
35010274,Population_2021,480.0
35010274,Total_households,200.0
35010274,Median_income_2020,80000.0
35010275,Population_2021,928.0
35010275,Total_households,340.0
35010275,Median_income_2020,92000.0
35010276,Population_2021,587.0
35010276,Total_households,225.0
35010276,Median_income_2020,114000.0
35010277,Population_2021,528.0
35010277,Total_households,215.0
35010277,Median_income_2020,103000.0
35010278,Population_2021,421.0
35010278,Total_households,170.0
35010278,Median_income_2020,95000.0
35010279,Population_2021,404.0
35010279,Total_households,160.0
35010279,Median_income_2020,90000.0
35010280,Population_2021,414.0
35010280,Total_households,155.0
35010280,Median_income_2020,96000.0
35010281,Population_2021,467.0
35010281,Total_households,190.0
35010281,Median_income_2020,88000.0
35010283,Population_2021,445.0
35010283,Total_households,170.0
35010283,Median_income_2020,79000.0
35010312,Population_2021,466.0
35010312,Total_households,195.0
35010312,Median_income_2020,77000.0
35010313,Population_2021,663.0
35010313,Total_households,290.0
35010313,Median_income_2020,98000.0
35010314,Population_2021,640.0
35010314,Total_households,300.0
35010314,Median_income_2020,81000.0
35010315,Population_2021,851.0
35010315,Total_households,330.0
35010315,Median_income_2020,98000.0
35010316,Population_2021,368.0
35010316,Total_households,160.0
35010316,Median_income_2020,72500.0
35010317,Population_2021,815.0
35010317,Total_households,310.0
35010317,Median_income_2020,100000.0
35010318,Population_2021,672.0
35010318,Total_households,290.0
35010318,Median_income_2020,70000.0
35010319,Population_2021,928.0
35010319,Total_households,340.0
35010319,Median_income_2020,99000.0
35010320,Population_2021,902.0
35010320,Total_households,345.0
35010320,Median_income_2020,131000.0
35010321,Population_2021,366.0
35010321,Total_households,145.0
35010321,Median_income_2020,84000.0
35010322,Population_2021,492.0
35010322,Total_households,180.0
35010322,Median_income_2020,84000.0
35010357,Population_2021,508.0
35010357,Total_households,210.0
35010357,Median_income_2020,92000.0
35010358,Population_2021,557.0
35010358,Total_households,215.0
35010358,Median_income_2020,90000.0
35010180,Population_2021,1215.0
35010180,Total_households,460.0
35010180,Median_income_2020,82000.0
35010181,Population_2021,392.0
35010181,Total_households,145.0
35010181,Median_income_2020,81000.0
35010182,Population_2021,441.0
35010182,Total_households,185.0
35010182,Median_income_2020,79000.0
35010183,Population_2021,765.0
35010183,Total_households,245.0
35010183,Median_income_2020,60000.0
35010184,Population_2021,392.0
35010184,Total_households,175.0
35010184,Median_income_2020,79500.0
35010185,Population_2021,789.0
35010185,Total_households,420.0
35010185,Median_income_2020,55600.0
35010186,Population_2021,623.0
35010186,Total_households,285.0
35010186,Median_income_2020,64500.0
35010187,Population_2021,677.0
35010187,Total_households,300.0
35010187,Median_income_2020,54800.0
35010188,Population_2021,447.0
35010188,Total_households,195.0
35010188,Median_income_2020,62400.0
35010189,Population_2021,420.0
35010189,Total_households,170.0
35010189,Median_income_2020,95000.0
35010190,Population_2021,444.0
35010190,Total_households,185.0
35010190,Median_income_2020,60800.0
35010191,Population_2021,413.0
35010191,Total_households,200.0
35010191,Median_income_2020,55600.0
35010192,Population_2021,444.0
35010192,Total_households,215.0
35010192,Median_income_2020,63600.0
35010193,Population_2021,326.0
35010193,Total_households,175.0
35010193,Median_income_2020,42400.0
35010194,Population_2021,395.0
35010194,Total_households,190.0
35010194,Median_income_2020,39200.0
35010195,Population_2021,411.0
35010195,Total_households,205.0
35010195,Median_income_2020,42000.0
35010196,Population_2021,391.0
35010196,Total_households,190.0
35010196,Median_income_2020,38000.0
35010197,Population_2021,400.0
35010197,Total_households,205.0
35010197,Median_income_2020,44000.0
35010198,Population_2021,369.0
35010198,Total_households,240.0
35010198,Median_income_2020,31400.0
35010199,Population_2021,487.0
35010199,Total_households,235.0
35010199,Median_income_2020,41600.0
35010200,Population_2021,420.0
35010200,Total_households,195.0
35010200,Median_income_2020,55600.0
35010202,Population_2021,491.0
35010202,Total_households,205.0
35010202,Median_income_2020,45600.0
35010203,Population_2021,577.0
35010203,Total_households,305.0
35010203,Median_income_2020,39200.0
35010204,Population_2021,477.0
35010204,Total_households,300.0
35010204,Median_income_2020,42400.0
35010205,Population_2021,322.0
35010205,Total_households,135.0
35010205,Median_income_2020,55200.0
35010206,Population_2021,453.0
35010206,Total_households,220.0
35010206,Median_income_2020,60000.0
35010207,Population_2021,276.0
35010207,Total_households,110.0
35010207,Median_income_2020,91000.0
35010208,Population_2021,448.0
35010208,Total_households,210.0
35010208,Median_income_2020,56800.0
35010209,Population_2021,431.0
35010209,Total_households,205.0
35010209,Median_income_2020,52400.0
35010210,Population_2021,486.0
35010210,Total_households,295.0
35010210,Median_income_2020,28400.0
35010211,Population_2021,458.0
35010211,Total_households,200.0
35010211,Median_income_2020,62800.0
35010212,Population_2021,467.0
35010212,Total_households,235.0
35010212,Median_income_2020,42800.0
35010213,Population_2021,514.0
35010213,Total_households,205.0
35010213,Median_income_2020,66500.0
35010214,Population_2021,372.0
35010214,Total_households,150.0
35010214,Median_income_2020,61200.0
35010215,Population_2021,691.0
35010215,Total_households,230.0
35010215,Median_income_2020,67000.0
35010216,Population_2021,396.0
35010216,Total_households,195.0
35010216,Median_income_2020,69000.0
35010217,Population_2021,1193.0
35010217,Total_households,505.0
35010217,Median_income_2020,75000.0
35010218,Population_2021,467.0
35010218,Total_households,190.0
35010218,Median_income_2020,64000.0
35010219,Population_2021,451.0
35010219,Total_households,220.0
35010219,Median_income_2020,57200.0
35010220,Population_2021,463.0
35010220,Total_households,210.0
35010220,Median_income_2020,67500.0
35010221,Population_2021,482.0
35010221,Total_households,235.0
35010221,Median_income_2020,54800.0
35010222,Population_2021,555.0
35010222,Total_households,240.0
35010222,Median_income_2020,58000.0
35010223,Population_2021,540.0
35010223,Total_households,275.0
35010223,Median_income_2020,51600.0
35010224,Population_2021,594.0
35010224,Total_households,215.0
35010224,Median_income_2020,63200.0
35010225,Population_2021,777.0
35010225,Total_households,365.0
35010225,Median_income_2020,54000.0
35010226,Population_2021,501.0
35010226,Total_households,200.0
35010226,Median_income_2020,46400.0
35010227,Population_2021,308.0
35010227,Total_households,130.0
35010227,Median_income_2020,80000.0
35010228,Population_2021,634.0
35010228,Total_households,200.0
35010228,Median_income_2020,100000.0
35010229,Population_2021,660.0
35010229,Total_households,265.0
35010229,Median_income_2020,98000.0
35010230,Population_2021,447.0
35010230,Total_households,160.0
35010230,Median_income_2020,135000.0
35010231,Population_2021,441.0
35010231,Total_households,180.0
35010231,Median_income_2020,101000.0
35010232,Population_2021,426.0
35010232,Total_households,170.0
35010232,Median_income_2020,96000.0
35010233,Population_2021,515.0
35010233,Total_households,215.0
35010233,Median_income_2020,89000.0
35010234,Population_2021,493.0
35010234,Total_households,195.0
35010234,Median_income_2020,85000.0
35010235,Population_2021,530.0
35010235,Total_households,235.0
35010235,Median_income_2020,56000.0
35010237,Population_2021,488.0
35010237,Total_households,290.0
35010237,Median_income_2020,52000.0
35010238,Population_2021,431.0
35010238,Total_households,210.0
35010238,Median_income_2020,47600.0
35010239,Population_2021,598.0
35010239,Total_households,295.0
35010239,Median_income_2020,46800.0
35010240,Population_2021,398.0
35010240,Total_households,190.0
35010240,Median_income_2020,51600.0
35010241,Population_2021,532.0
35010241,Total_households,230.0
35010241,Median_income_2020,54000.0
35010242,Population_2021,431.0
35010242,Total_households,210.0
35010242,Median_income_2020,47200.0
35010243,Population_2021,519.0
35010243,Total_households,220.0
35010243,Median_income_2020,56400.0
35010244,Population_2021,542.0
35010244,Total_households,260.0
35010244,Median_income_2020,46000.0
35010245,Population_2021,561.0
35010245,Total_households,280.0
35010245,Median_income_2020,51600.0
35010246,Population_2021,461.0
35010246,Total_households,235.0
35010246,Median_income_2020,53200.0
35010247,Population_2021,623.0
35010247,Total_households,435.0
35010247,Median_income_2020,28800.0
35010248,Population_2021,653.0
35010248,Total_households,280.0
35010248,Median_income_2020,25600.0
35010249,Population_2021,474.0
35010249,Total_households,250.0
35010249,Median_income_2020,66500.0
35010250,Population_2021,365.0
35010250,Total_households,155.0
35010250,Median_income_2020,71500.0
35010251,Population_2021,331.0
35010251,Total_households,140.0
35010251,Median_income_2020,76500.0
35010252,Population_2021,402.0
35010252,Total_households,170.0
35010252,Median_income_2020,79000.0
35010253,Population_2021,779.0
35010253,Total_households,315.0
35010253,Median_income_2020,79000.0
35010254,Population_2021,364.0
35010254,Total_households,150.0
35010254,Median_income_2020,83000.0
35010255,Population_2021,289.0
35010255,Total_households,120.0
35010255,Median_income_2020,93000.0
35010256,Population_2021,344.0
35010256,Total_households,150.0
35010256,Median_income_2020,69500.0
35010257,Population_2021,605.0
35010257,Total_households,260.0
35010257,Median_income_2020,80000.0
35010258,Population_2021,467.0
35010258,Total_households,210.0
35010258,Median_income_2020,83000.0
35010259,Population_2021,275.0
35010259,Total_households,125.0
35010259,Median_income_2020,84000.0
35010260,Population_2021,696.0
35010260,Total_households,280.0
35010260,Median_income_2020,70000.0
35010261,Population_2021,441.0
35010261,Total_households,205.0
35010261,Median_income_2020,64500.0
35010262,Population_2021,314.0
35010262,Total_households,145.0
35010262,Median_income_2020,74500.0
35010263,Population_2021,316.0
35010263,Total_households,135.0
35010263,Median_income_2020,77000.0
35010264,Population_2021,509.0
35010264,Total_households,235.0
35010264,Median_income_2020,69500.0
35010265,Population_2021,357.0
35010265,Total_households,140.0
35010265,Median_income_2020,105000.0
35010266,Population_2021,622.0
35010266,Total_households,300.0
35010266,Median_income_2020,56800.0
35010267,Population_2021,412.0
35010267,Total_households,175.0
35010267,Median_income_2020,75500.0
35010268,Population_2021,432.0
35010268,Total_households,240.0
35010268,Median_income_2020,42000.0
35010269,Population_2021,556.0
35010269,Total_households,180.0
35010269,Median_income_2020,68500.0
35010270,Population_2021,401.0
35010270,Total_households,220.0
35010270,Median_income_2020,38400.0
35010271,Population_2021,338.0
35010271,Total_households,140.0
35010271,Median_income_2020,49200.0
35010272,Population_2021,427.0
35010272,Total_households,215.0
35010272,Median_income_2020,40000.0
35010370,Population_2021,1030.0
35010370,Total_households,400.0
35010370,Median_income_2020,85000.0
35010371,Population_2021,393.0
35010371,Total_households,145.0
35010371,Median_income_2020,99000.0
35010372,Population_2021,290.0
35010372,Total_households,125.0
35010372,Median_income_2020,76500.0
35010373,Population_2021,496.0
35010373,Total_households,200.0
35010373,Median_income_2020,58400.0
35010374,Population_2021,463.0
35010374,Total_households,180.0
35010374,Median_income_2020,70000.0
35010375,Population_2021,423.0
35010375,Total_households,165.0
35010375,Median_income_2020,106000.0
35010299,Population_2021,487.0
35010299,Total_households,195.0
35010299,Median_income_2020,86000.0
35010300,Population_2021,558.0
35010300,Total_households,220.0
35010300,Median_income_2020,95000.0
35010301,Population_2021,488.0
35010301,Total_households,195.0
35010301,Median_income_2020,81000.0
35010302,Population_2021,629.0
35010302,Total_households,280.0
35010302,Median_income_2020,64500.0
35010303,Population_2021,463.0
35010303,Total_households,190.0
35010303,Median_income_2020,77500.0
35010304,Population_2021,441.0
35010304,Total_households,155.0
35010304,Median_income_2020,75500.0
35010305,Population_2021,442.0
35010305,Total_households,195.0
35010305,Median_income_2020,99000.0
35010306,Population_2021,489.0
35010306,Total_households,215.0
35010306,Median_income_2020,84000.0
35010307,Population_2021,491.0
35010307,Total_households,200.0
35010307,Median_income_2020,72000.0
35010308,Population_2021,465.0
35010308,Total_households,225.0
35010308,Median_income_2020,64500.0
35010309,Population_2021,427.0
35010309,Total_households,175.0
35010309,Median_income_2020,53600.0
35010310,Population_2021,494.0
35010310,Total_households,250.0
35010310,Median_income_2020,66000.0
35010311,Population_2021,585.0
35010311,Total_households,250.0
35010311,Median_income_2020,76500.0
35010323,Population_2021,776.0
35010323,Total_households,325.0
35010323,Median_income_2020,100000.0
35010324,Population_2021,583.0
35010324,Total_households,270.0
35010324,Median_income_2020,67500.0
35010325,Population_2021,556.0
35010325,Total_households,280.0
35010325,Median_income_2020,57600.0
35010328,Population_2021,512.0
35010328,Total_households,185.0
35010328,Median_income_2020,89000.0
35010329,Population_2021,537.0
35010329,Total_households,205.0
35010329,Median_income_2020,98000.0
35010330,Population_2021,441.0
35010330,Total_households,165.0
35010330,Median_income_2020,90000.0
35010411,Population_2021,588.0
35010411,Total_households,255.0
35010411,Median_income_2020,80000.0
35010412,Population_2021,592.0
35010412,Total_households,230.0
35010412,Median_income_2020,84000.0
35010291,Population_2021,442.0
35010291,Total_households,165.0
35010291,Median_income_2020,105000.0
35010292,Population_2021,467.0
35010292,Total_households,175.0
35010292,Median_income_2020,106000.0
35010293,Population_2021,655.0
35010293,Total_households,260.0
35010293,Median_income_2020,93000.0
35010294,Population_2021,755.0
35010294,Total_households,300.0
35010294,Median_income_2020,88000.0
35010295,Population_2021,409.0
35010295,Total_households,180.0
35010295,Median_income_2020,78000.0
35010296,Population_2021,368.0
35010296,Total_households,175.0
35010296,Median_income_2020,62000.0
35010297,Population_2021,430.0
35010297,Total_households,165.0
35010297,Median_income_2020,90000.0
35010298,Population_2021,570.0
35010298,Total_households,195.0
35010298,Median_income_2020,93000.0
35010331,Population_2021,390.0
35010331,Total_households,170.0
35010331,Median_income_2020,82000.0
35010332,Population_2021,556.0
35010332,Total_households,205.0
35010332,Median_income_2020,99000.0
35010333,Population_2021,461.0
35010333,Total_households,200.0
35010333,Median_income_2020,90000.0
35010334,Population_2021,640.0
35010334,Total_households,265.0
35010334,Median_income_2020,76500.0
35010335,Population_2021,358.0
35010335,Total_households,140.0
35010335,Median_income_2020,101000.0
35010336,Population_2021,537.0
35010336,Total_households,300.0
35010336,Median_income_2020,50000.0
35010337,Population_2021,501.0
35010337,Total_households,195.0
35010337,Median_income_2020,92000.0
35010338,Population_2021,486.0
35010338,Total_households,190.0
35010338,Median_income_2020,99000.0
35010339,Population_2021,755.0
35010339,Total_households,270.0
35010339,Median_income_2020,130000.0
35010340,Population_2021,516.0
35010340,Total_households,190.0
35010340,Median_income_2020,100000.0
35010341,Population_2021,506.0
35010341,Total_households,195.0
35010341,Median_income_2020,101000.0
35010342,Population_2021,475.0
35010342,Total_households,205.0
35010342,Median_income_2020,93000.0
35010343,Population_2021,466.0
35010343,Total_households,185.0
35010343,Median_income_2020,95000.0
35010344,Population_2021,561.0
35010344,Total_households,215.0
35010344,Median_income_2020,101000.0
35010282,Population_2021,433.0
35010282,Total_households,160.0
35010282,Median_income_2020,89000.0
35010284,Population_2021,449.0
35010284,Total_households,170.0
35010284,Median_income_2020,90000.0
35010285,Population_2021,581.0
35010285,Total_households,250.0
35010285,Median_income_2020,68500.0
35010286,Population_2021,508.0
35010286,Total_households,195.0
35010286,Median_income_2020,99000.0
35010287,Population_2021,503.0
35010287,Total_households,190.0
35010287,Median_income_2020,108000.0
35010288,Population_2021,572.0
35010288,Total_households,230.0
35010288,Median_income_2020,99000.0
35010289,Population_2021,753.0
35010289,Total_households,300.0
35010289,Median_income_2020,95000.0
35010290,Population_2021,460.0
35010290,Total_households,170.0
35010290,Median_income_2020,110000.0
35010345,Population_2021,416.0
35010345,Total_households,155.0
35010345,Median_income_2020,97000.0
35010346,Population_2021,535.0
35010346,Total_households,225.0
35010346,Median_income_2020,73500.0
35010347,Population_2021,588.0
35010347,Total_households,220.0
35010347,Median_income_2020,97000.0
35010348,Population_2021,534.0
35010348,Total_households,205.0
35010348,Median_income_2020,88000.0
35010355,Population_2021,491.0
35010355,Total_households,175.0
35010355,Median_income_2020,92000.0
35010356,Population_2021,577.0
35010356,Total_households,220.0
35010356,Median_income_2020,83000.0
35010155,Population_2021,457.0
35010155,Total_households,190.0
35010155,Median_income_2020,72500.0
35010156,Population_2021,449.0
35010156,Total_households,195.0
35010156,Median_income_2020,72500.0
35010157,Population_2021,472.0
35010157,Total_households,200.0
35010157,Median_income_2020,72500.0
35010158,Population_2021,495.0
35010158,Total_households,205.0
35010158,Median_income_2020,76000.0
35010349,Population_2021,341.0
35010349,Total_households,120.0
35010349,Median_income_2020,
35010350,Population_2021,419.0
35010350,Total_households,180.0
35010350,Median_income_2020,76500.0
35010351,Population_2021,409.0
35010351,Total_households,170.0
35010351,Median_income_2020,77500.0
35010352,Population_2021,454.0
35010352,Total_households,175.0
35010352,Median_income_2020,90000.0
35010353,Population_2021,458.0
35010353,Total_households,180.0
35010353,Median_income_2020,90000.0
35010354,Population_2021,552.0
35010354,Total_households,230.0
35010354,Median_income_2020,87000.0
35010359,Population_2021,606.0
35010359,Total_households,265.0
35010359,Median_income_2020,74000.0
35010360,Population_2021,524.0
35010360,Total_households,210.0
35010360,Median_income_2020,85000.0
35010361,Population_2021,479.0
35010361,Total_households,255.0
35010361,Median_income_2020,50400.0
35010362,Population_2021,431.0
35010362,Total_households,200.0
35010362,Median_income_2020,66000.0
35010363,Population_2021,576.0
35010363,Total_households,325.0
35010363,Median_income_2020,51200.0
35010364,Population_2021,434.0
35010364,Total_households,195.0
35010364,Median_income_2020,72000.0
35010365,Population_2021,587.0
35010365,Total_households,245.0
35010365,Median_income_2020,49600.0
35010366,Population_2021,490.0
35010366,Total_households,225.0
35010366,Median_income_2020,58000.0
35010367,Population_2021,698.0
35010367,Total_households,320.0
35010367,Median_income_2020,73000.0
35010369,Population_2021,360.0
35010369,Total_households,155.0
35010369,Median_income_2020,78500.0
35010409,Population_2021,214.0
35010409,Total_households,90.0
35010409,Median_income_2020,
35010410,Population_2021,239.0
35010410,Total_households,95.0
35010410,Median_income_2020,
35020197,Population_2021,556.0
35020197,Total_households,215.0
35020197,Median_income_2020,93000.0
35020198,Population_2021,888.0
35020198,Total_households,380.0
35020198,Median_income_2020,89000.0
35020199,Population_2021,552.0
35020199,Total_households,225.0
35020199,Median_income_2020,84000.0
35020200,Population_2021,475.0
35020200,Total_households,205.0
35020200,Median_income_2020,72500.0
35020201,Population_2021,471.0
35020201,Total_households,195.0
35020201,Median_income_2020,72500.0
35020202,Population_2021,476.0
35020202,Total_households,200.0
35020202,Median_income_2020,68000.0
35020183,Population_2021,701.0
35020183,Total_households,415.0
35020183,Median_income_2020,47600.0
35020184,Population_2021,556.0
35020184,Total_households,260.0
35020184,Median_income_2020,42000.0
35020185,Population_2021,560.0
35020185,Total_households,215.0
35020185,Median_income_2020,54400.0
35020186,Population_2021,716.0
35020186,Total_households,375.0
35020186,Median_income_2020,47600.0
35020187,Population_2021,496.0
35020187,Total_households,290.0
35020187,Median_income_2020,37600.0
35020188,Population_2021,599.0
35020188,Total_households,270.0
35020188,Median_income_2020,73000.0
35020189,Population_2021,558.0
35020189,Total_households,330.0
35020189,Median_income_2020,36800.0
35020190,Population_2021,544.0
35020190,Total_households,290.0
35020190,Median_income_2020,40000.0
35020191,Population_2021,534.0
35020191,Total_households,260.0
35020191,Median_income_2020,54400.0
35020192,Population_2021,682.0
35020192,Total_households,310.0
35020192,Median_income_2020,56800.0
35020193,Population_2021,534.0
35020193,Total_households,270.0
35020193,Median_income_2020,74000.0
35020194,Population_2021,533.0
35020194,Total_households,240.0
35020194,Median_income_2020,76500.0
35020196,Population_2021,648.0
35020196,Total_households,320.0
35020196,Median_income_2020,68500.0
35020203,Population_2021,749.0
35020203,Total_households,355.0
35020203,Median_income_2020,45200.0
35020204,Population_2021,526.0
35020204,Total_households,245.0
35020204,Median_income_2020,63600.0
35020205,Population_2021,512.0
35020205,Total_households,280.0
35020205,Median_income_2020,50400.0
35020206,Population_2021,746.0
35020206,Total_households,365.0
35020206,Median_income_2020,72000.0
35020092,Population_2021,738.0
35020092,Total_households,270.0
35020092,Median_income_2020,114000.0
35020093,Population_2021,903.0
35020093,Total_households,360.0
35020093,Median_income_2020,107000.0
35020094,Population_2021,494.0
35020094,Total_households,225.0
35020094,Median_income_2020,71000.0
35020095,Population_2021,463.0
35020095,Total_households,230.0
35020095,Median_income_2020,62800.0
35020096,Population_2021,605.0
35020096,Total_households,280.0
35020096,Median_income_2020,90000.0
35020097,Population_2021,452.0
35020097,Total_households,175.0
35020097,Median_income_2020,77000.0
35020175,Population_2021,662.0
35020175,Total_households,275.0
35020175,Median_income_2020,89000.0
35020176,Population_2021,608.0
35020176,Total_households,265.0
35020176,Median_income_2020,67000.0
35020177,Population_2021,386.0
35020177,Total_households,190.0
35020177,Median_income_2020,54800.0
35020178,Population_2021,460.0
35020178,Total_households,235.0
35020178,Median_income_2020,58400.0
35020179,Population_2021,421.0
35020179,Total_households,200.0
35020179,Median_income_2020,68500.0
35020180,Population_2021,528.0
35020180,Total_households,210.0
35020180,Median_income_2020,94000.0
35020181,Population_2021,471.0
35020181,Total_households,185.0
35020181,Median_income_2020,97000.0
35020182,Population_2021,622.0
35020182,Total_households,270.0
35020182,Median_income_2020,76500.0
35020195,Population_2021,852.0
35020195,Total_households,370.0
35020195,Median_income_2020,97000.0
35020098,Population_2021,378.0
35020098,Total_households,160.0
35020098,Median_income_2020,86000.0
35020099,Population_2021,498.0
35020099,Total_households,220.0
35020099,Median_income_2020,56000.0
35020100,Population_2021,573.0
35020100,Total_households,260.0
35020100,Median_income_2020,64500.0
35020101,Population_2021,633.0
35020101,Total_households,275.0
35020101,Median_income_2020,77500.0
35020102,Population_2021,739.0
35020102,Total_households,315.0
35020102,Median_income_2020,78000.0
35020103,Population_2021,481.0
35020103,Total_households,210.0
35020103,Median_income_2020,78500.0
35020104,Population_2021,754.0
35020104,Total_households,335.0
35020104,Median_income_2020,65000.0
35020105,Population_2021,620.0
35020105,Total_households,255.0
35020105,Median_income_2020,97000.0
35020106,Population_2021,791.0
35020106,Total_households,305.0
35020106,Median_income_2020,92000.0
35020107,Population_2021,528.0
35020107,Total_households,200.0
35020107,Median_income_2020,100000.0
35020108,Population_2021,2085.0
35020108,Total_households,820.0
35020108,Median_income_2020,99000.0
35020109,Population_2021,1250.0
35020109,Total_households,515.0
35020109,Median_income_2020,86000.0
35020127,Population_2021,619.0
35020127,Total_households,225.0
35020127,Median_income_2020,92000.0
35020128,Population_2021,604.0
35020128,Total_households,240.0
35020128,Median_income_2020,89000.0
35020129,Population_2021,579.0
35020129,Total_households,200.0
35020129,Median_income_2020,99000.0
35020130,Population_2021,724.0
35020130,Total_households,250.0
35020130,Median_income_2020,120000.0
35020136,Population_2021,611.0
35020136,Total_households,245.0
35020136,Median_income_2020,99000.0
35020137,Population_2021,458.0
35020137,Total_households,195.0
35020137,Median_income_2020,86000.0
35020138,Population_2021,723.0
35020138,Total_households,265.0
35020138,Median_income_2020,116000.0
35020139,Population_2021,644.0
35020139,Total_households,205.0
35020139,Median_income_2020,126000.0
35020140,Population_2021,618.0
35020140,Total_households,225.0
35020140,Median_income_2020,116000.0
35020141,Population_2021,1720.0
35020141,Total_households,660.0
35020141,Median_income_2020,115000.0
35020142,Population_2021,2253.0
35020142,Total_households,850.0
35020142,Median_income_2020,116000.0
35020167,Population_2021,473.0
35020167,Total_households,190.0
35020167,Median_income_2020,108000.0
35020168,Population_2021,621.0
35020168,Total_households,215.0
35020168,Median_income_2020,125000.0
35020169,Population_2021,472.0
35020169,Total_households,175.0
35020169,Median_income_2020,99000.0
35020170,Population_2021,666.0
35020170,Total_households,275.0
35020170,Median_income_2020,83000.0
35020171,Population_2021,498.0
35020171,Total_households,195.0
35020171,Median_income_2020,81000.0
35020172,Population_2021,499.0
35020172,Total_households,220.0
35020172,Median_income_2020,71000.0
35020173,Population_2021,557.0
35020173,Total_households,235.0
35020173,Median_income_2020,83000.0
35020174,Population_2021,630.0
35020174,Total_households,260.0
35020174,Median_income_2020,86000.0
35020064,Population_2021,1607.0
35020064,Total_households,610.0
35020064,Median_income_2020,115000.0
35020065,Population_2021,581.0
